"","brand","year","mileage","engine_size","automatic_transmission","fuel","drivetrain","min_mpg","max_mpg","damaged","first_owner","navigation_system","bluetooth","third_row_seating","heated_seats","price"
"37","Toyota",2018,29686,3.5,1,"Petrol","Front-wheel Drive",21,30,0,0,1,1,0,1,28638
"92","Jeep",2017,61255,3.6,1,"Petrol","Four-wheel Drive",17,22,1,0,0,1,0,1,24683
"149","Mitsubishi",2018,71543,2.4,1,"Petrol","Four-wheel Drive",25,26,1,0,0,1,0,1,17255
"206","Jeep",2023,2629,3.6,1,"Petrol","Four-wheel Drive",16,21,0,1,0,1,0,0,43400
"262","Ford",2022,5563,2.7,1,"Petrol","Rear-wheel Drive",NA,NA,0,1,1,0,0,0,43506
"318","FIAT",2017,90079,1.4,1,"Petrol","Front-wheel Drive",22,30,1,1,1,1,0,0,16295
"371","BMW",2007,49307,4.8,1,"Petrol","Rear-wheel Drive",17,25,0,0,1,1,0,1,14900
"427","Volvo",2010,51056,2.4,1,"Petrol","Front-wheel Drive",NA,NA,0,0,0,1,0,0,11950
"482","Audi",2017,68587,4,1,"Petrol","Four-wheel Drive",18,29,0,0,1,1,0,1,34900
"539","Honda",2017,66664,2,1,"Hybrid","Front-wheel Drive",47,49,0,0,0,1,0,0,19355
"600","Mazda",2019,34309,2.5,1,"Petrol","Front-wheel Drive",NA,NA,0,1,1,1,0,1,24000
"655","Mercedes-Benz",2021,9859,NA,1,"Petrol","Four-wheel Drive",NA,NA,0,1,1,1,0,0,51490
"712","Audi",2019,71240,3,1,"Petrol","Four-wheel Drive",17,22,0,1,1,1,0,1,46496
"773","Mitsubishi",2013,84916,2,1,"Petrol","Four-wheel Drive",26,34,0,0,0,1,0,1,26995
"829","Hyundai",2015,143601,2.4,1,"Petrol","Four-wheel Drive",24,29,1,0,0,1,0,0,10595
"883","Chevrolet",2020,40338,3.6,1,"Petrol","Four-wheel Drive",17,25,0,1,1,1,1,1,34834
"938","Jaguar",2015,75485,3,1,"Petrol","Rear-wheel Drive",17,26,1,0,1,1,0,1,18367
"1000","Maserati",2022,9515,3,1,"Petrol","Rear-wheel Drive",16,22,0,1,1,1,0,1,53999
"1060","Volvo",2020,26785,2,1,"Petrol","Front-wheel Drive",NA,NA,1,1,1,1,0,0,29383
"1115","Land",2019,29803,3,1,"Petrol","Four-wheel Drive",19,24,1,1,1,1,0,0,41488
"1177","Toyota",2018,33864,3.5,1,"Petrol","Four-wheel Drive",20,26,1,0,1,1,1,1,31500
"1236","Hyundai",2023,2619,1.6,1,"Petrol","Front-wheel Drive",24,35,0,1,1,1,0,1,26854
"1297","Jaguar",2020,33173,2,1,"Petrol","Four-wheel Drive",18,26,0,1,0,1,0,0,36989
"1356","Toyota",2020,54160,3.5,1,"Petrol","Front-wheel Drive",19,26,1,0,1,1,1,1,35000
"1413","Honda",2018,70537,1.5,1,"Petrol","Front-wheel Drive",31,40,0,0,0,1,0,0,21995
"1470","Cadillac",2023,14010,2,1,"Petrol","Front-wheel Drive",19,27,0,1,0,1,0,0,39167
"1526","Nissan",2017,54676,NA,1,"Electric","Front-wheel Drive",24,26,0,0,0,1,0,0,12000
"1585","Volvo",2021,18016,2,1,"Petrol","Front-wheel Drive",0,21,0,1,1,1,0,0,35593
"1641","Chevrolet",2013,149527,6.6,1,"Diesel","Four-wheel Drive",NA,NA,0,0,0,1,0,1,27502
"1694","Volkswagen",2012,75666,2.5,1,"Petrol","Front-wheel Drive",17,23,0,0,0,1,0,1,10977
"1749","Hyundai",2017,53151,2.4,1,"Petrol","Unknown",NA,NA,1,0,0,1,0,1,21975
"1815","FIAT",2017,56792,1.4,1,"Petrol","Rear-wheel Drive",26,35,0,0,0,1,0,1,21789
"1873","Hyundai",2022,13033,NA,1,"Petrol","Front-wheel Drive",NA,NA,0,1,1,1,1,1,47281
"1926","Volkswagen",2017,91991,3.6,1,"Petrol","Four-wheel Drive",30,40,0,0,1,1,0,1,23950
"1989","Toyota",2019,60903,5.7,1,"Petrol","Rear-wheel Drive",13,18,0,1,1,1,0,0,42965
"2047","Hyundai",2018,61457,2,1,"Petrol","Front-wheel Drive",30,34,0,0,0,1,0,0,16498
"2104","Mazda",2021,62430,2.5,1,"Petrol","Front-wheel Drive",20,28,0,1,0,1,0,1,25996
"2161","Hyundai",2020,20199,1.6,0,"Petrol","Front-wheel Drive",24,35,0,1,0,1,0,0,25000
"2222","Volvo",2020,47240,2,1,"Petrol","Front-wheel Drive",23,34,0,1,1,1,0,0,30893
"2286","Jaguar",2018,35426,NA,0,"Petrol","Rear-wheel Drive",16,24,1,1,1,1,0,1,38750
"2344","Mercedes-Benz",2021,0,2,1,"Petrol","Four-wheel Drive",13,16,0,0,1,1,0,1,41943
"2402","MINI",2012,0,1.6,0,"Petrol","Four-wheel Drive",21,30,0,1,0,0,0,0,11999
"2460","Mitsubishi",2016,66070,2.4,1,"Petrol","Front-wheel Drive",25,30,0,0,0,1,0,0,14988
"2517","Jaguar",2018,50500,3,0,"Petrol","Four-wheel Drive",21,28,0,1,1,1,0,1,31999
"2572","Jeep",2017,37665,3.2,1,"Petrol","Four-wheel Drive",16,21,0,0,1,1,0,1,28950
"2634","Mitsubishi",2019,80273,2,1,"Petrol","Front-wheel Drive",24,30,1,0,0,1,0,0,17995
"2692","MINI",2011,94980,1.6,1,"Petrol","Front-wheel Drive",23,32,1,0,0,0,0,0,9900
"2756","Toyota",2019,13698,2.5,1,"Petrol","Four-wheel Drive",25,33,0,1,0,1,0,0,35399
"2814","Land",2011,102817,5,1,"Petrol","Four-wheel Drive",18,24,1,0,1,1,0,0,15285
"2879","Maserati",2016,39555,3,1,"Petrol","Rear-wheel Drive",16,24,1,0,1,1,0,1,27988
"2935","Hyundai",2022,20060,1.6,1,"Petrol","Front-wheel Drive",29,38,0,1,0,1,0,1,29456
"2992","Jaguar",2018,9394,3,1,"Petrol","Four-wheel Drive",18,27,0,1,1,1,0,1,37999
"3055","Kia",2013,28965,2,1,"Petrol","Front-wheel Drive",NA,NA,1,1,0,1,0,0,10999
"3110","Mazda",2017,59638,2,1,"Petrol","Four-wheel Drive",26,35,0,1,0,1,0,1,18995
"3167","Nissan",2018,96828,5.6,1,"Petrol","Rear-wheel Drive",22,31,0,0,1,1,1,1,31991
"3220","Jaguar",2017,46972,5,1,"Petrol","Rear-wheel Drive",17,25,0,0,1,1,0,0,44888
"3274","Toyota",2019,52854,2.5,1,"Hybrid","Front-wheel Drive",43,43,1,1,1,1,0,1,30991
"3329","FIAT",2015,78057,1.4,1,"Petrol","Front-wheel Drive",7,32,0,1,0,1,0,0,10914
"3388","Land",2019,66080,NA,1,"Petrol","Four-wheel Drive",22,28,0,1,1,1,0,0,37999
"3443","Land",2014,92977,3,1,"Petrol","Four-wheel Drive",NA,NA,0,0,1,1,0,0,23399
"3498","Mercedes-Benz",2021,6548,2,1,"Petrol","Front-wheel Drive",25,35,0,1,0,1,0,0,36490
"3557","Lexus",2021,22834,2.5,1,"Hybrid","Four-wheel Drive",20,27,0,0,0,1,0,0,38795
"3610","Land",2018,64033,NA,1,"Petrol","Four-wheel Drive",15,22,1,0,1,1,0,1,53000
"3675","Mercedes-Benz",2018,55062,2,1,"Petrol","Front-wheel Drive",23,30,0,0,1,1,0,0,27998
"3733","Mazda",2023,1999,2.5,1,"Petrol","Four-wheel Drive",20,26,0,1,0,1,0,1,33688
"3788","Hyundai",2020,59034,2.4,1,"Petrol","Front-wheel Drive",19,26,0,0,0,1,0,1,21807
"3850","Mitsubishi",2015,77524,2,1,"Petrol","Four-wheel Drive",25,31,1,0,0,1,0,1,13695
"3906","Volkswagen",2012,89740,2,1,"Petrol","Front-wheel Drive",NA,NA,1,0,0,1,0,1,8990
"3965","Nissan",2016,31311,3.5,1,"Petrol","Front-wheel Drive",27,38,0,1,1,1,0,1,23988
"4023","Volkswagen",2020,28369,2,1,"Petrol","Four-wheel Drive",NA,NA,0,0,0,1,0,0,28911
"4083","BMW",2010,99800,4.8,1,"Petrol","Rear-wheel Drive",15,23,1,1,1,1,0,0,11995
"4141","Kia",2020,19480,NA,1,"Petrol","Front-wheel Drive",27,37,0,1,1,1,1,1,46995
